"filename", "language", "JSON", "Lua", "comment", "blank", "total"
"d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedFirst\GameLoading\GameLoadingService.lua", "Lua", 0, -1, 1, 0, 0
"d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillAnimator.lua", "Lua", 0, -1, 0, -8, -9
"d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Clones.lua", "Lua", 0, 23, 2, 8, 33
"d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Kamehameha.lua", "Lua", 0, 27, 0, 11, 38
"d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillSystemClient\Rasengan.lua", "Lua", 0, 125, 0, 23, 148
"d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\Packages\_Index\untakeranonplay_simplepath@0.1.1\simplepath\src\ReplicatedStorage\SimplePath\init.lua", "Lua", 0, 16, 4, -2, 18
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerScriptService\PlayerConnectionService.server.lua", "Lua", 0, 0, 1, 0, 1
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\Services\CacheMananger.lua", "Lua", 0, 0, 0, -10, -10
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\Services\SkillMananger.lua", "Lua", 0, 4, 0, -2, 2
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\CommonFuncs.lua", "Lua", 0, 5, 0, 4, 9
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\HitBoxMananger.lua", "Lua", 0, 2, 0, 0, 2
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Clones.lua", "Lua", 0, 62, 1, 18, 81
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Kamehameha.lua", "Lua", 0, 25, 0, 6, 31
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Rasengan.lua", "Lua", 0, 20, 0, 11, 31
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Wind_Smash.lua", "Lua", 0, -1, 1, 0, 0
"d:\ROBLOX STUDIO\Rojo\UTP\src\StarterPlayer\StarterCharacterScripts\Animate.client.lua", "Lua", 0, 0, 1, 3, 4
"d:\ROBLOX STUDIO\Rojo\UTP\src\StarterPlayer\StarterCharacterScripts\AnimateBkg.client.lua", "Lua", 0, -634, -47, -124, -805
"d:\ROBLOX STUDIO\Rojo\UTP\src\StarterPlayer\StarterPlayerScripts\PlayerModule\ControlModule\init.lua", "Lua", 0, 548, 66, 112, 726
"d:\ROBLOX STUDIO\Rojo\UTP\src\StarterPlayer\StarterPlayerScripts\PlayerModule\ControlModule\init.meta.json", "JSON", 3, 0, 0, 0, 3
"d:\ROBLOX STUDIO\Rojo\UTP\src\StarterPlayer\StarterPlayerScripts\PlayerModule\init.lua", "Lua", 0, 29, 3, 10, 42
"d:\ROBLOX STUDIO\Rojo\UTP\src\StarterPlayer\StarterPlayerScripts\PlayerModule\init.meta.json", "JSON", 3, 0, 0, 0, 3
"d:\ROBLOX STUDIO\Rojo\UTP\src\StarterPlayer\StarterPlayerScripts\init.meta.json", "JSON", 3, 0, 0, 0, 3
"Total", "-", 9, 249, 33, 60, 351
