Date : 2023-11-12 00:43:41
Directory : d:\ROBLOX STUDIO\Rojo\UTP\src
Total : 476 files,  26301 codes, 1194 comments, 4660 blanks, all 32155 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Lua        |        276 |     17,917 |      1,193 |      4,401 |     23,511 |
| JSON       |        180 |      7,603 |          0 |          6 |      7,609 |
| Markdown   |         18 |        578 |          0 |        229 |        807 |
| JavaScript |          2 |        203 |          1 |         24 |        228 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                               |        476 |     26,301 |      1,194 |      4,660 |     32,155 |
| ReplicatedFirst                                                                                                                                                 |          2 |         58 |          5 |         10 |         73 |
| ReplicatedFirst\GameLoading                                                                                                                                     |          2 |         58 |          5 |         10 |         73 |
| ReplicatedStorage                                                                                                                                               |        241 |     18,560 |        598 |      2,760 |     21,918 |
| ReplicatedStorage (Files)                                                                                                                                       |          6 |        555 |         61 |        134 |        750 |
| ReplicatedStorage\ClientServices                                                                                                                                |         14 |        826 |         22 |        351 |      1,199 |
| ReplicatedStorage\ClientServices (Files)                                                                                                                        |          6 |        493 |         16 |        256 |        765 |
| ReplicatedStorage\ClientServices\SkillSystemClient                                                                                                              |          8 |        333 |          6 |         95 |        434 |
| ReplicatedStorage\Drops                                                                                                                                         |         13 |         63 |          0 |         36 |         99 |
| ReplicatedStorage\Drops (Files)                                                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| ReplicatedStorage\Drops\Drop1                                                                                                                                   |          3 |         15 |          0 |          9 |         24 |
| ReplicatedStorage\Drops\Drop1 (Files)                                                                                                                           |          1 |          4 |          0 |          0 |          4 |
| ReplicatedStorage\Drops\Drop1\BillboardGui                                                                                                                      |          2 |         11 |          0 |          9 |         20 |
| ReplicatedStorage\Drops\Drop2                                                                                                                                   |          3 |         15 |          0 |          9 |         24 |
| ReplicatedStorage\Drops\Drop2 (Files)                                                                                                                           |          1 |          4 |          0 |          0 |          4 |
| ReplicatedStorage\Drops\Drop2\BillboardGui                                                                                                                      |          2 |         11 |          0 |          9 |         20 |
| ReplicatedStorage\Drops\Drop3                                                                                                                                   |          3 |         15 |          0 |          9 |         24 |
| ReplicatedStorage\Drops\Drop3 (Files)                                                                                                                           |          1 |          4 |          0 |          0 |          4 |
| ReplicatedStorage\Drops\Drop3\BillboardGui                                                                                                                      |          2 |         11 |          0 |          9 |         20 |
| ReplicatedStorage\Drops\Drop4                                                                                                                                   |          3 |         15 |          0 |          9 |         24 |
| ReplicatedStorage\Drops\Drop4 (Files)                                                                                                                           |          1 |          4 |          0 |          0 |          4 |
| ReplicatedStorage\Drops\Drop4\BillboardGui                                                                                                                      |          2 |         11 |          0 |          9 |         20 |
| ReplicatedStorage\FormatNumber                                                                                                                                  |         18 |      1,917 |         44 |        357 |      2,318 |
| ReplicatedStorage\FormatNumber (Files)                                                                                                                          |          4 |        136 |          8 |         46 |        190 |
| ReplicatedStorage\FormatNumber\Main                                                                                                                             |          6 |        639 |         14 |        127 |        780 |
| ReplicatedStorage\FormatNumber\_internal                                                                                                                        |          8 |      1,142 |         22 |        184 |      1,348 |
| ReplicatedStorage\Packages                                                                                                                                      |        161 |     14,331 |        437 |      1,719 |     16,487 |
| ReplicatedStorage\Packages (Files)                                                                                                                              |          3 |          3 |          0 |          3 |          6 |
| ReplicatedStorage\Packages\_Index                                                                                                                               |        158 |     14,328 |        437 |      1,716 |     16,481 |
